name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Virgil Soeroredjo,173,78,Suriname,SUR,M,Badminton,Men's Singles
Victoria Montero,166,64,Mexico,MEX,W,Badminton,Women's Singles
Thilini Jayasinghe,164,58,Sri Lanka,SRI,W,Badminton,Women's Singles
Pablo Abian,177,78,Spain,ESP,M,Badminton,Men's Singles
Glenn Warfe,181,72,Australian Olympic Team,AUS,M,Badminton,Men's Doubles
Kristina Gavnholt,177,69,Czech Republic,CZE,W,Badminton,Women's Singles
Chieh Min Fang,175,72,Chinese Taipei,TPE,M,Badminton,Men's Doubles
Agnese Allegrini,162,57,Italy,ITA,W,Badminton,Women's Singles
Biao Chai,184,70,China,CHN,M,Badminton,Men's Doubles
Ji Hyun Sung,175,56,South Korea,KOR,W,Badminton,Women's Singles
Haifeng Fu,181,77,China,CHN,M,Badminton,Men's Doubles
Jin Ma,165,61,China,CHN,W,Badminton,Mixed Doubles
Lianne Tan,160,57,Belgium,BEL,W,Badminton,Women's Singles
Monika Fasungova,163,55,Slovakia,SVK,W,Badminton,Women's Singles
Ivan Sozonov,180,80,Russian Federation,RUS,M,Badminton,Men's Doubles
Christinna Pedersen,178,71,Denmark,DEN,W,Badminton,Women's Doubles
Imogen Bankier,167,65,Team GB,GBR,W,Badminton,Mixed Doubles
Maja Tvrdy,170,59,Slovenia,SLO,W,Badminton,Women's Singles
Mohamed Ajfan Rasheed,165,55,Maldives,MDV,M,Badminton,Men's Singles
Bona Septano,171,63,Indonesia,INA,M,Badminton,Men's Doubles
Chris Adcock,183,80,Team GB,GBR,M,Badminton,Mixed Doubles
Rajiv Ouseph,189,82,Team GB,GBR,M,Badminton,Men's Singles
Susan Egelstaff,168,62,Team GB,GBR,W,Badminton,Women's Singles
