First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Aneta Hladikova,171,62,Czech Republic,CZE,W,Cycling - BMX,Women's BMX
Kohei Yamamoto,182,69,Japan,JPN,M,Cycling - Mountain Bike,Men's Mountain Bike
Manuel Rodas Ochoa,172,68,Guatemala,GUA,M,Cycling - Road,Men's Road Race
Maik Baier,180,91,Germany,GER,M,Cycling - BMX,Men's BMX
Ingrid Drexel,173,62,Mexico,MEX,W,Cycling - Road,Women's Road Race
Nicole Cooke,167,58,Team GB,GBR,W,Cycling - Road,Women's Road Race
Emma Johansson,167,58,Sweden,SWE,W,Cycling - Road,Women's Individual Time Trial
Ki Ho Choi,173,59,Hong Kong,HKG,M,Cycling - Track,Men's Omnium
Wendy Houvenaghel,176,60,Team GB,GBR,W,Cycling - Track,Women's Team Pursuit
Keon Woo Park,173,65,South Korea,KOR,M,Cycling - Track,Men's Team Pursuit
Jess Varnish,167,69,Team GB,GBR,W,Cycling - Track,Women's Team Sprint
Carlos Mario Oquendo Zabala,175,81,Colombia,COL,M,Cycling - BMX,Men's BMX
Greg Henderson,180,74,New Zealand,NZL,M,Cycling - Road,Men's Road Race
Lars Boom,191,81,Netherlands,NED,M,Cycling - Road,Men's Road Race
Emilio Andres Falla Buchely,172,60,Ecuador,ECU,M,Cycling - BMX,Men's BMX
Yauheni Hutarovich,179,71,Belarus,BLR,M,Cycling - Road,Men's Road Race
de VECCHI Manuel De Vecchi,182,91,Italy,ITA,M,Cycling - BMX,Men's BMX
Marianne Vos,169,52,Netherlands,NED,W,Cycling - Road,Women's Individual Time Trial
Kristin Armstrong,173,58,Team USA,USA,W,Cycling - Road,Women's Individual Time Trial
Alise Post,157,58,Team USA,USA,W,Cycling - BMX,Women's BMX
David Millar,191,78,Team GB,GBR,M,Cycling - Road,Men's Road Race
Assan Bazayev,170,66,Kazakhstan,KAZ,M,Cycling - Road,Men's Road Race
Krisztian Lovassy,180,71,Hungary,HUN,M,Cycling - Road,Men's Road Race
Matteo Trentin,179,74,Italy,ITA,M,Cycling - Road,Men's Road Race
Jonathan Castroviejo Nicolas,172,64,Spain,ESP,M,Cycling - Road,Men's Road Race
Yudai Nitta,173,77,Japan,JPN,M,Cycling - Track,Men's Team Sprint
Claudia Hausler,168,52,Germany,GER,W,Cycling - Road,Women's Road Race
Frank Schleck,186,69,Luxembourg,LUX,M,Cycling - Road,Men's Road Race
John Degenkolb,180,79,Germany,GER,M,Cycling - Road,Men's Road Race
Katrin Leumann,174,54,Switzerland,SUI,W,Cycling - Mountain Bike,Women's Mountain Bike
Jaroslav Kulhavy,187,76,Czech Republic,CZE,M,Cycling - Mountain Bike,Men's Mountain Bike
Marco Aurelio Fontana,172,68,Italy,ITA,M,Cycling - Mountain Bike,Men's Mountain Bike
Simona Krupeckaite,170,70,Lithuania,LTU,W,Cycling - Track,Women's Sprint
Westley Gough,185,75,New Zealand,NZL,M,Cycling - Track,Men's Team Pursuit
Kevin Sireau,188,90,France,FRA,M,Cycling - Track,Men's Team Sprint
Luis Mansilla,175,68,Chile,CHI,M,Cycling - Track,Men's Omnium
Nikita Shurshin,191,95,Russian Federation,RUS,M,Cycling - Track,Men's Sprint
Rushlee Buchanan,170,63,New Zealand,NZL,W,Cycling - Track,Women's Sprint
Marc Bassingthwaighte,178,68,Namibia,NAM,M,Cycling - Mountain Bike,Men's Mountain Bike
Candice Neethling,170,60,South Africa,RSA,W,Cycling - Mountain Bike,Women's Mountain Bike
Evgeniya Romanyuta,166,60,Russian Federation,RUS,W,Cycling - Track,Women's Omnium
Ethan Mitchell,180,81,New Zealand,NZL,M,Cycling - Track,Men's Team Sprint
Pia Sundstedt,168,52,Finland,FIN,W,Cycling - Road,Women's Individual Time Trial
Brian Kirkham,183,84,Australian Olympic Team,AUS,M,Cycling - BMX,Men's BMX
Kristina Vogel,160,62,Germany,GER,W,Cycling - Track,Women's Team Sprint
Sir Chris Hoy,185,93,Team GB,GBR,M,Cycling - Track,Men's Sprint
