First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Fernando Gabriel Garcia,190,85,Argentina,ARG,M,Handball,Men's Handball
Martin Hare,193,93,Team GB,GBR,M,Handball,Men's Handball
Marie-Paule Gnabouyou,185,79,France,FRA,W,Handball,Women's Handball
Ana Paula Rodrigues,172,64,Brazil,BRA,W,Handball,Women's Handball
Hans Lindberg,188,88,Denmark,DEN,M,Handball,Men's Handball
Tatiana Khmyrova,173,68,Russian Federation,RUS,W,Handball,Women's Handball
Peter Gulyas,200,102,Hungary,HUN,M,Handball,Men's Handball
Deonise Cavaleiro,180,73,Brazil,BRA,W,Handball,Women's Handball
Mayara Moura,170,66,Brazil,BRA,W,Handball,Women's Handball
Daniel Narcisse,189,93,France,FRA,M,Handball,Men's Handball
McCAFFERTY Lynn Mccafferty,168,64,Team GB,GBR,W,Handball,Women's Handball
Didier Dinart,197,104,France,FRA,M,Handball,Men's Handball
Karin Mortensen,181,75,Denmark,DEN,W,Handball,Women's Handball
Venio Losert,191,92,Croatia,CRO,M,Handball,Men's Handball
Kristina Flognman,178,65,Sweden,SWE,W,Handball,Women's Handball
Drago Vukovic,194,93,Croatia,CRO,M,Handball,Men's Handball
Jane Mayes,173,88,Team GB,GBR,W,Handball,Women's Handball
Mariama Signate,189,84,France,FRA,W,Handball,Women's Handball
Chanyoung Park,190,85,South Korea,KOR,M,Handball,Men's Handball
Jelena Grubisic,184,78,Croatia,CRO,W,Handball,Women's Handball
Daniel Sarmiento Melian,188,87,Spain,ESP,M,Handball,Men's Handball
Nely Alberto Francisca,178,81,Spain,ESP,W,Handball,Women's Handball
Isabel Guialo,168,65,Angola,ANG,W,Handball,Women's Handball
Mikkel Hansen,196,98,Denmark,DEN,M,Handball,Men's Handball
Andrea Seric,184,82,Croatia,CRO,W,Handball,Women's Handball
Jakov Gojun,204,110,Croatia,CRO,M,Handball,Men's Handball
Camilla Dalby,182,73,Denmark,DEN,W,Handball,Women's Handball
Andres Kogovsek,190,92,Argentina,ARG,M,Handball,Men's Handball
Victor Tomas Gonzalez,177,83,Spain,ESP,M,Handball,Men's Handball
Bertrand Gille,187,98,France,FRA,M,Handball,Men's Handball
Jessica Helleberg,174,65,Sweden,SWE,W,Handball,Women's Handball
Andreas Nilsson,197,102,Sweden,SWE,M,Handball,Men's Handball
Rikke Skov,181,73,Denmark,DEN,W,Handball,Women's Handball
Sebastien Edgar,182,76,Team GB,GBR,M,Handball,Men's Handball
Sebastian Prieto,187,80,Team GB,GBR,M,Handball,Men's Handball
Neide Barbosa,178,78,Angola,ANG,W,Handball,Women's Handball
Anders Jensen,179,79,Denmark,DEN,M,Handball,Men's Handball
Laura Innes,181,75,Team GB,GBR,W,Handball,Women's Handball
Steven Larsson,195,95,Team GB,GBR,M,Handball,Men's Handball
Ewa Palies,173,73,Team GB,GBR,W,Handball,Women's Handball
Jovanka Radicevic,170,65,Montenegro,MNE,W,Handball,Women's Handball
Andela Bulatovic,175,65,Montenegro,MNE,W,Handball,Women's Handball
Ana Radovic,175,65,Montenegro,MNE,W,Handball,Women's Handball
Kelsi Fairbrother,160,68,Team GB,GBR,W,Handball,Women's Handball
John Pearce,190,88,Team GB,GBR,M,Handball,Men's Handball
Gawain Vincent,186,83,Team GB,GBR,M,Handball,Men's Handball
Yvonne Leuthold,176,74,Team GB,GBR,W,Handball,Women's Handball
Mark Hawkins,182,71,Team GB,GBR,M,Handball,Men's Handball
Nina Heglund,170,68,Team GB,GBR,W,Handball,Women's Handball
Christopher Mohr,187,83,Team GB,GBR,M,Handball,Men's Handball
Nicholas Satchwell,187,78,Team GB,GBR,M,Handball,Men's Handball
Lyn Byl,172,67,Team GB,GBR,W,Handball,Women's Handball
Holly LAM-MOORES,169,59,Team GB,GBR,W,Handball,Women's Handball
McMILLAN Daniel Mcmillan,189,93,Team GB,GBR,M,Handball,Men's Handball
van der WEEL Zoe Van Der Weel,161,61,Team GB,GBR,W,Handball,Women's Handball
McDERMOTT Christopher Mcdermott,204,105,Team GB,GBR,M,Handball,Men's Handball
Louise Jukes,169,75,Team GB,GBR,W,Handball,Women's Handball
Kathryn Fudge,183,70,Team GB,GBR,W,Handball,Women's Handball
Jesper Parker,200,100,Team GB,GBR,M,Handball,Men's Handball
Ciaran Williams,183,81,Team GB,GBR,M,Handball,Men's Handball
Marie Gerbron,166,64,Team GB,GBR,W,Handball,Women's Handball
Robin Garnham,194,94,Team GB,GBR,M,Handball,Men's Handball
Sarah Hargreaves,185,84,Team GB,GBR,W,Handball,Women's Handball
Britt Goodwin,163,68,Team GB,GBR,W,Handball,Women's Handball
