First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Peter Wiersum,173,55,Netherlands,NED,M,Rowing,Men's Eight
Krystian Aranowski,198,100,Poland,POL,M,Rowing,Men's Eight
Esther Lofgren,188,79,Team USA,USA,W,Rowing,Women's Eight
Vladislav Ryabtsev,194,97,Russian Federation,RUS,M,Rowing,Men's Quadruple Sculls
Sol Ji Kim,168,57,South Korea,KOR,W,Rowing,Women's Lightweight Double Sculls
Lena Muller,173,59,Germany,GER,W,Rowing,Women's Lightweight Double Sculls
Lukasz Pawlowski,183,70,Poland,POL,M,Rowing,Men's Lightweight Four
Francis Hegerty,188,95,Australian Olympic Team,AUS,M,Rowing,Men's Eight
Andrea Caianiello,183,73,Italy,ITA,M,Rowing,Men's Lightweight Four
Michael Wilkinson,188,86,Canada,CAN,M,Rowing,Men's Four
Malcolm Howard,200,100,Canada,CAN,M,Rowing,Men's Eight
Matthew Wells,188,90,Team GB,GBR,M,Rowing,Men's Quadruple Sculls
Kim Crow,188,74,Australian Olympic Team,AUS,W,Rowing,Women's Double Sculls
Nienke Kingma,182,74,Netherlands,NED,W,Rowing,Women's Eight
Annekatrin Thiele,173,68,Germany,GER,W,Rowing,Women's Quadruple Sculls
Marie-Louise Draeger,170,59,Germany,GER,W,Rowing,Women's Single Sculls
McCABE Conlin Mccabe,205,100,Canada,CAN,M,Rowing,Men's Eight
Artem Morozov,195,104,Ukraine,UKR,M,Rowing,Men's Double Sculls
John Storey,186,85,New Zealand,NZL,M,Rowing,Men's Quadruple Sculls
Brett Newlin,206,102,Team USA,USA,M,Rowing,Men's Eight
Mario Paonessa,193,95,Italy,ITA,M,Rowing,Men's Four
Lee-Ann Persse,181,74,South Africa,RSA,W,Rowing,Women's Pair
Lindsey Maguire,187,76,Team GB,GBR,W,Rowing,Women's Eight
Jade Uru,189,88,New Zealand,NZL,M,Rowing,Men's Four
Tycho Muda,183,70,Netherlands,NED,M,Rowing,Men's Lightweight Four
Gregor Hauffe,190,93,Germany,GER,M,Rowing,Men's Four
Ming-Hui Wang,187,88,Chinese Taipei,TPE,M,Rowing,Men's Single Sculls
Georgios Tziallas,190,90,Greece,GRE,M,Rowing,Men's Four
Kostiantyn Zaitsev,193,91,Ukraine,UKR,M,Rowing,Men's Quadruple Sculls
Rodolfo Collazo Tourn,177,70,Uruguay,URU,M,Rowing,Men's Lightweight Double Sculls
Kasper Winther,182,73,Denmark,DEN,M,Rowing,Men's Lightweight Four
Kenneth Jurkowski,188,95,Team USA,USA,M,Rowing,Men's Single Sculls
Jie Sun,182,69,China,CHN,M,Rowing,Men's Lightweight Double Sculls
Glenn Ochal,193,93,Team USA,USA,M,Rowing,Men's Four
Joshua DUNKLEY-SMITH,194,98,Australian Olympic Team,AUS,M,Rowing,Men's Four
Stergios Papachristos,190,88,Greece,GRE,M,Rowing,Men's Four
Marcel Hacker,196,97,Germany,GER,M,Rowing,Men's Single Sculls
Atsumi Fukumoto,169,57,Japan,JPN,W,Rowing,Women's Lightweight Double Sculls
Louise Ayling,167,58,New Zealand,NZL,W,Rowing,Women's Lightweight Double Sculls
Fabrice Moreau,179,69,France,FRA,M,Rowing,Men's Lightweight Four
Elisabeth Hogerwerf,182,72,Netherlands,NED,W,Rowing,Women's Double Sculls
Greg Searle,197,97,Team GB,GBR,M,Rowing,Men's Eight
