First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Sergey Bolshakov,190,90,Russian Federation,RUS,M,Swimming,Men's Marathon 10km
Jackson Niyomugabo,184,71,Rwanda,RWA,M,Swimming,Men's 50m Freestyle
Anna Kulkina,167,52,Kazakhstan,KAZ,W,Synchronised Swimming,Women's Duets
Egor Degtyarev,202,96,Russian Federation,RUS,M,Swimming,Men's 400m Freestyle
Samantha Cheverton,160,48,Canada,CAN,W,Swimming,Women's 200m Freestyle
Aya Takano,164,54,Japan,JPN,W,Swimming,Women's 4 x 200m Freestyle Relay
Sona Bernardova,168,55,Czech Republic,CZE,W,Synchronised Swimming,Women's Duets
Daryna Zevina,182,64,Ukraine,UKR,W,Swimming,Women's 4 x 200m Freestyle Relay
Yannick Lebherz,194,85,Germany,GER,M,Swimming,Men's 400m Individual Medley
Grainne Murphy,171,71,Ireland,IRL,W,Swimming,Women's 800m Freestyle
Yevgeniy Lazuka,189,81,Azerbaijan,AZE,M,Swimming,Men's 100m Butterfly
Il Joo Baek,170,66,South Korea,KOR,W,Swimming,Women's 200m Freestyle
Adama Ouedraogo,177,72,Burkina Faso,BUR,M,Swimming,Men's 50m Freestyle
Glenn Snyders,179,81,New Zealand,NZL,M,Swimming,Men's 4 x 100m Medley Relay
Zige Liu,181,70,China,CHN,W,Swimming,Women's 200m Butterfly
Bayan Jumah,184,75,Syria,SYR,W,Swimming,Women's 100m Freestyle
Oksana Hatamkhanova,161,51,Azerbaijan,AZE,W,Swimming,Women's 100m Breaststroke
Christoph Fildebrandt,193,78,Germany,GER,M,Swimming,Men's 4 x 100m Freestyle Relay
Viktoriia Andreeva,189,76,Russian Federation,RUS,W,Swimming,Women's 4 x 200m Freestyle Relay
Tamir Andryei,181,80,Mongolia,MGL,M,Swimming,Men's 100m Freestyle
Rahman Md Mahfizur,172,71,Bangladesh,BAN,M,Swimming,Men's 50m Freestyle
Zuo Chen,186,79,China,CHN,M,Swimming,Men's 4 x 100m Freestyle Relay
Katinka Hosszu,170,56,Hungary,HUN,W,Swimming,Women's 400m Individual Medley
Lisa Zaiser,174,63,Austria,AUT,W,Swimming,Women's 200m Individual Medley
Kate Haywood,178,68,Team GB,GBR,W,Swimming,Women's 100m Breaststroke
