First name Second name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events
Andriy Kvyatkovskyy,173,71,Ukraine,UKR,M,Wrestling,Men's Freestyle 66kg
Augusto Midana,167,74,Guinea-Bissau,GBS,M,Wrestling,Men's Freestyle 74kg
Rares Daniel Chintoan,189,120,Romania,ROU,M,Wrestling,Men's Freestyle 120kg
Steeve Guenot,172,66,France,FRA,M,Wrestling,Men's Greco-Roman 66kg
Radoslav Marinov Velikov,162,55,Bulgaria,BUL,M,Wrestling,Men's Freestyle 55kg
Abdusalam Gadisov,178,84,Russian Federation,RUS,M,Wrestling,Men's Freestyle 96kg
Khetag Pliev,182,96,Canada,CAN,M,Wrestling,Men's Freestyle 96kg
Sadegh Saeed Goudarzi,179,74,Iran,IRI,M,Wrestling,Men's Freestyle 74kg
Chuluunbat Jargalsaikhan,184,116,Mongolia,MGL,M,Wrestling,Men's Freestyle 120kg
Ayhan Karakus,165,55,Turkey,TUR,M,Wrestling,Men's Greco-Roman 55kg
Abdelrahman Eltrabily,190,120,Egypt,EGY,M,Wrestling,Men's Greco-Roman 120kg
Dato Marsagishvili,186,84,Georgia,GEO,M,Wrestling,Men's Freestyle 84kg
Daniyar Kobonov,180,74,Kyrgyzstan,KGZ,M,Wrestling,Men's Greco-Roman 74kg
Vladimer Khinchegashvili,170,55,Georgia,GEO,M,Wrestling,Men's Freestyle 55kg
Nenad Zugaj,177,84,Croatia,CRO,M,Wrestling,Men's Greco-Roman 84kg
Tsutomu Fujimura,174,66,Japan,JPN,M,Wrestling,Men's Greco-Roman 66kg
Christophe Guenot,178,74,France,FRA,M,Wrestling,Men's Greco-Roman 74kg
Khasan Baroev,188,120,Russian Federation,RUS,M,Wrestling,Men's Greco-Roman 120kg
Haakan Erik Nyblom,160,55,Denmark,DEN,M,Wrestling,Men's Greco-Roman 55kg
Bilel Ouechtati,172,74,Tunisia,TUN,M,Wrestling,Men's Freestyle 74kg
Anastasija Grigorjeva,169,62,Latvia,LAT,W,Wrestling,Women's Freestyle 63kg
Justin Dashaun Lester,170,73,Team USA,USA,M,Wrestling,Men's Greco-Roman 66kg
Marcia Yuleisi Andrades Mendoza,165,55,Venezuela,VEN,W,Wrestling,Women's Freestyle 55kg
Rustam Iskandari,176,96,Tajikistan,TJK,M,Wrestling,Men's Freestyle 96kg
Abdou Omar Abdou Ahmed,172,66,Egypt,EGY,M,Wrestling,Men's Freestyle 66kg
Anzor Urishev,177,84,Russian Federation,RUS,M,Wrestling,Men's Freestyle 84kg
Wuileixis de Jesus Rivas Espinoza,165,60,Venezuela,VEN,M,Wrestling,Men's Greco-Roman 66kg
Ali Nadhim Salman,190,120,Iraq,IRQ,M,Wrestling,Men's Greco-Roman 120kg
Olga Butkevych,160,60,Team GB,GBR,W,Wrestling,Women's Freestyle 55kg
